ID,p_val,log2FC,pct.1,pct.2,Pvalue,,,,
Mmp13,1.81E-33,1.015153292,0.152,0.031,3.99E-29,,,,Epas1
Crip1,1.32E-92,1.001872657,0.997,0.995,2.92E-88,,,,Npl
Plac8,6.26E-28,0.935651752,0.453,0.297,1.38E-23,,,,Ltc4s
Pf4,2.10E-11,0.932274493,0.636,0.567,4.64E-07,,,,C6
Ppbp,7.12E-21,0.922000099,0.074,0.008,1.58E-16,,,,Ggt5
Retnla,6.56E-15,0.921435143,0.04,0,1.45E-10,,,,Atp6v0d2
Fcgr2b,7.57E-74,0.899770053,0.597,0.356,1.67E-69,,,,Serpina3n
St8sia4,1.69E-54,0.893236138,0.302,0.095,3.74E-50,,,,Ccr1
Gm17268,4.20E-37,0.872993037,0.477,0.291,9.29E-33,,,,F830016B08Rik
Xylt1,1.54E-65,0.865522947,0.684,0.399,3.41E-61,,,,Ccr7
Fbxl5,1.16E-78,0.851097637,0.934,0.634,2.56E-74,,,,Lrg1
Mtss1,5.14E-66,0.847693204,0.974,0.813,1.14E-61,,,,Tspan32
Aopep,5.68E-71,0.842712617,0.998,0.985,1.26E-66,,,,Ms4a8a
Atp6v0d2,1.19E-29,0.832272141,0.209,0.078,2.63E-25,,,,Stard8
Lgals3,3.47E-78,0.831372864,1,1,7.67E-74,,,,Anxa3
Hilpda,3.29E-76,0.828520062,0.989,0.954,7.28E-72,,,,
Flrt2,1.54E-47,0.823512839,0.318,0.123,3.40E-43,,,,
Ier5,1.05E-79,0.817624347,0.811,0.538,2.33E-75,,,,
Ccr1,1.50E-61,0.811449143,0.428,0.185,3.31E-57,,,,
Gadd45g,1.10E-103,0.807149696,0.76,0.322,2.43E-99,,,,
Rgcc,1.26E-83,0.806105477,0.658,0.301,2.79E-79,,,,
Dusp1,2.27E-81,0.799828684,0.997,0.994,5.02E-77,,,,
Gda,8.92E-49,0.79745242,0.614,0.428,1.97E-44,,,,
Lpl,7.09E-17,0.795913831,0.307,0.199,1.57E-12,,,,
Atf3,1.88E-73,0.789050382,1,0.998,4.16E-69,,,,
Ccr2,9.68E-41,0.78695415,0.289,0.11,2.14E-36,,,,
Ncam1,0,0.778917262,0.876,0.132,0,,,,
Cacna1d,6.00E-32,0.778430929,0.502,0.334,1.33E-27,,,,
Mndal,1.10E-37,0.777628421,0.497,0.319,2.43E-33,,,,
Fndc3a,1.61E-58,0.777132965,0.991,0.978,3.57E-54,,,,
AA467197,4.91E-14,0.776618794,0.208,0.123,1.09E-09,,,,
Fam107b,1.73E-28,0.774223322,0.446,0.294,3.82E-24,,,,
Ifi203,2.09E-36,0.766998062,0.426,0.249,4.63E-32,,,,
Gm42418,4.97E-148,0.764019876,1,1,1.10E-143,,,,
Klf9,2.08E-140,0.763347546,0.695,0.26,4.60E-136,,,,
Gphn,1.79E-121,0.757855448,1,0.997,3.95E-117,,,,
Cxcl2,1.77E-13,0.756879538,0.992,0.988,3.91E-09,,,,
Cebpb,8.12E-77,0.753480378,0.948,0.684,1.80E-72,,,,
Aff1,4.20E-67,0.753348404,0.982,0.851,9.28E-63,,,,
Emp1,1.14E-69,0.752862382,0.798,0.483,2.53E-65,,,,
Vcan,7.81E-25,0.752007773,0.216,0.093,1.73E-20,,,,
Ifi204,1.63E-56,0.740567301,0.689,0.489,3.60E-52,,,,
Furin,1.15E-44,0.735571423,0.519,0.31,2.54E-40,,,,
Lrp12,1.20E-35,0.732163969,0.392,0.218,2.65E-31,,,,
Klf6,2.55E-107,0.731547478,1,1,5.64E-103,,,,
Btg1,7.27E-83,0.730476634,0.998,0.996,1.61E-78,,,,
Lilr4b,1.99E-68,0.726354025,0.866,0.722,4.40E-64,,,,
Chil3,1.58E-13,0.725803169,0.237,0.144,3.49E-09,,,,
Slc7a2,4.04E-27,0.724859802,0.194,0.07,8.93E-23,,,,
Lpp,2.61E-88,0.724607153,0.999,0.992,5.78E-84,,,,
Iqgap1,2.37E-111,0.720737393,1,0.999,5.23E-107,,,,
Cdk6,1.59E-56,0.715671148,0.676,0.419,3.53E-52,,,,
Noct,3.84E-73,0.713234656,0.627,0.287,8.49E-69,,,,
Cd53,1.66E-65,0.709281424,0.746,0.593,3.67E-61,,,,
Basp1,1.47E-51,0.708857516,0.994,0.985,3.25E-47,,,,
Tiparp,1.43E-73,0.705682535,0.998,0.996,3.16E-69,,,,
Plau,2.35E-30,0.702985752,0.201,0.07,5.19E-26,,,,
Rsad2,8.60E-25,0.697437055,0.777,0.604,1.90E-20,,,,
Gm14636,1.78E-22,0.696585402,0.395,0.259,3.93E-18,,,,
Dock10,7.45E-44,0.696009753,0.986,0.941,1.65E-39,,,,
Alcam,1.70E-46,0.692089291,0.986,0.945,3.77E-42,,,,
Cd9,4.30E-55,0.6905747,0.977,0.964,9.51E-51,,,,
Fos,3.45E-73,0.68879719,1,1,7.62E-69,,,,
Gm13986,1.68E-29,0.687953059,0.185,0.061,3.71E-25,,,,
H2-DMa,1.48E-22,0.685465836,0.338,0.209,3.28E-18,,,,
Junb,4.89E-64,0.683838709,0.995,0.992,1.08E-59,,,,
Nfkbia,3.00E-17,0.678043767,0.992,0.995,6.63E-13,,,,
Akap13,9.51E-43,0.677256995,0.995,0.974,2.10E-38,,,,
Trib1,9.11E-59,0.675710685,0.726,0.45,2.01E-54,,,,
Ctsl,4.12E-33,0.67194824,1,0.999,9.10E-29,,,,
H2-DMb1,4.76E-20,0.669594414,0.249,0.137,1.05E-15,,,,
Fbxw11,9.80E-69,0.665611663,0.997,0.991,2.17E-64,,,,
Gbp2,5.43E-13,0.661774775,0.218,0.134,1.20E-08,,,,
Abhd18,2.91E-259,0.659673319,0.786,0.174,6.43E-255,,,,
Fxyd5,2.67E-57,0.658938095,0.998,0.984,5.89E-53,,,,
Ifi211,1.93E-34,0.655325214,0.516,0.344,4.27E-30,,,,
Metrnl,3.83E-42,0.652149144,0.613,0.445,8.47E-38,,,,
Trim25,1.30E-70,0.651352684,0.84,0.508,2.88E-66,,,,
Mgl2,1.77E-30,0.649109135,0.084,0,3.91E-26,,,,
Ifi27l2a,5.00E-47,0.647887261,0.951,0.687,1.10E-42,,,,
Cytip,2.65E-32,0.646801482,0.345,0.177,5.86E-28,,,,
Zfp36,1.91E-45,0.645670189,0.723,0.526,4.23E-41,,,,
Lsp1,1.78E-34,0.645584892,0.42,0.236,3.94E-30,,,,
Rnf19b,2.49E-48,0.643836288,0.78,0.499,5.52E-44,,,,
Cxcl1,0.007273922,0.638635854,0.216,0.189,1,,,,
Fcgr3,1.41E-38,0.638084657,0.642,0.51,3.13E-34,,,,
S100a10,8.53E-75,0.635142786,1,0.999,1.89E-70,,,,
Rgs1,1.99E-18,0.629891018,0.686,0.629,4.41E-14,,,,
F13a1,1.53E-19,0.628990016,0.707,0.647,3.39E-15,,,,
Igf2bp2,3.88E-27,0.620431861,0.278,0.14,8.58E-23,,,,
Errfi1,2.68E-50,0.619896141,0.595,0.293,5.92E-46,,,,
App,3.52E-58,0.619420176,1,0.999,7.78E-54,,,,
Igf1r,8.50E-124,0.619347794,0.65,0.195,1.88E-119,,,,
Ero1l,7.63E-88,0.619070445,0.999,0.995,1.69E-83,,,,
Klf2,1.42E-29,0.615669456,0.986,0.974,3.14E-25,,,,
Plaur,6.64E-32,0.609105733,0.468,0.3,1.47E-27,,,,
Slfn4,2.83E-20,0.607705686,0.228,0.115,6.25E-16,,,,
Clcn5,2.61E-65,0.606592049,0.762,0.44,5.76E-61,,,,
Clic4,1.83E-58,0.60465432,0.999,0.995,4.06E-54,,,,
Rnf217,4.57E-91,0.604303671,0.945,0.653,1.01E-86,,,,
Mcl1,4.33E-77,0.601619106,1,0.999,9.58E-73,,,,
Cdkn1a,1.27E-66,0.597665772,0.994,0.979,2.80E-62,,,,
Rbms1,5.41E-69,0.597483412,0.999,0.995,1.20E-64,,,,
Cd86,1.13E-19,0.59574882,0.688,0.606,2.49E-15,,,,
Atp2b1,3.84E-63,0.593591301,1,0.995,8.50E-59,,,,
Pparg,2.05E-28,0.591900293,0.187,0.063,4.54E-24,,,,
Csrnp1,1.32E-28,0.588353913,0.334,0.187,2.93E-24,,,,
Il6st,3.16E-61,0.586476537,0.451,0.183,7.00E-57,,,,
Hdac9,7.49E-13,0.586319894,0.274,0.182,1.66E-08,,,,
Smap2,4.14E-82,0.586173613,0.806,0.491,9.16E-78,,,,
Arhgap6,8.10E-51,0.582959282,0.46,0.233,1.79E-46,,,,
Tnf,2.38E-11,0.581763207,0.403,0.319,5.26E-07,,,,
Plin2,1.97E-54,0.576005205,1,0.999,4.35E-50,,,,
Nedd9,2.40E-23,0.575899734,0.292,0.16,5.31E-19,,,,
Ltb4r1,8.90E-31,0.574778338,0.252,0.105,1.97E-26,,,,
Zfp36l2,3.36E-36,0.574705901,0.528,0.321,7.42E-32,,,,
Ifit2,1.19E-08,0.573500322,0.155,0.096,0.000262623,,,,
Tbxas1,6.19E-30,0.572532614,0.587,0.434,1.37E-25,,,,
Tfec,7.48E-28,0.570769746,0.224,0.092,1.65E-23,,,,
Rbpj,1.23E-49,0.570673833,0.998,0.985,2.72E-45,,,,
Arhgap15,8.31E-17,0.570563712,0.412,0.301,1.84E-12,,,,
Isg15,1.36E-20,0.567919493,0.975,0.968,3.00E-16,,,,
Ccl4,1.50E-10,0.566751456,0.958,0.807,3.31E-06,,,,
Asph,2.78E-84,0.566541791,0.952,0.575,6.15E-80,,,,
Psd3,3.68E-13,0.56553915,0.269,0.176,8.14E-09,,,,
Plk2,6.70E-23,0.558828054,0.598,0.485,1.48E-18,,,,
Itprid2,1.19E-54,0.557204944,0.619,0.331,2.63E-50,,,,
Rhob,8.16E-54,0.554889697,0.996,0.983,1.80E-49,,,,
Ifih1,1.51E-12,0.554755513,0.326,0.23,3.33E-08,,,,
Cd300lf,6.29E-25,0.553015515,0.509,0.37,1.39E-20,,,,
Ccdc162,5.73E-23,0.552915544,0.116,0.028,1.27E-18,,,,
Arl4c,1.45E-23,0.547739524,0.373,0.237,3.20E-19,,,,
Picalm,5.93E-52,0.546900428,0.999,0.997,1.31E-47,,,,
Ifi209,1.69E-19,0.546661608,0.34,0.218,3.73E-15,,,,
Ankrd37,1.80E-61,0.546588446,0.419,0.148,3.97E-57,,,,
Nfil3,4.07E-41,0.545284202,0.583,0.361,9.01E-37,,,,
Pim1,7.92E-55,0.544924213,0.947,0.627,1.75E-50,,,,
Cask,7.38E-70,0.543094652,0.51,0.19,1.63E-65,,,,
Ifi207,1.11E-43,0.542390014,0.828,0.727,2.45E-39,,,,
Fmnl2,6.37E-33,0.541557582,0.998,0.999,1.41E-28,,,,
Egr2,9.94E-34,0.541248067,0.173,0.043,2.20E-29,,,,
Sat1,2.76E-28,0.540817375,0.998,0.991,6.11E-24,,,,
Rap1b,7.05E-61,0.540199806,1,0.999,1.56E-56,,,,
Ly86,4.71E-20,0.539787323,0.342,0.217,1.04E-15,,,,
Spon1,5.95E-22,0.538974006,0.102,0.021,1.31E-17,,,,
Rsbn1,1.73E-16,0.5371769,0.964,0.943,3.82E-12,,,,
S100a6,1.68E-42,0.537022298,0.995,0.989,3.71E-38,,,,
Egln3,5.21E-12,0.536637443,0.316,0.23,1.15E-07,,,,
H3f3b,4.15E-73,0.535213179,1,1,9.17E-69,,,,
Vav3,3.96E-33,0.534835417,0.766,0.649,8.76E-29,,,,
S100a11,1.35E-57,0.534819541,0.998,0.999,2.99E-53,,,,
Btg2,2.33E-39,0.533307747,0.775,0.503,5.14E-35,,,,
Smim3,1.18E-19,0.53267192,0.33,0.211,2.62E-15,,,,
Fam117b,1.64E-53,0.532122801,0.938,0.73,3.63E-49,,,,
Dennd4c,3.89E-23,0.531927389,0.433,0.301,8.60E-19,,,,
Cblb,1.57E-56,0.530826493,0.848,0.462,3.48E-52,,,,
Plekha2,2.79E-141,0.53082111,0.724,0.217,6.16E-137,,,,
Fem1c,4.89E-44,0.529806083,0.559,0.309,1.08E-39,,,,
S100a4,5.53E-36,0.527381885,0.851,0.583,1.22E-31,,,,
Cd44,4.06E-38,0.526661646,1,1,8.98E-34,,,,
Creb5,1.05E-28,0.525666595,0.993,0.977,2.32E-24,,,,
Uhrf1bp1l,3.19E-69,0.518472712,0.583,0.256,7.05E-65,,,,
Jmjd1c,8.81E-55,0.515844273,1,0.997,1.95E-50,,,,
Rin2,7.22E-45,0.514748732,0.723,0.458,1.60E-40,,,,
Il13ra1,7.20E-28,0.514746158,0.241,0.106,1.59E-23,,,,
Gm31522,4.21E-18,0.513672454,0.155,0.065,9.31E-14,,,,
Lilrb4a,8.04E-37,0.512326332,0.854,0.767,1.78E-32,,,,
Hba-a1,9.90E-07,0.510792705,0.084,0.044,0.021881286,,,,
Il7r,6.46E-14,0.510125555,0.478,0.383,1.43E-09,,,,
Ifrd1,1.28E-43,0.510028908,1,1,2.84E-39,,,,
Peak1,9.75E-40,0.508577459,0.975,0.836,2.16E-35,,,,
Bmp2k,1.86E-31,0.507127142,0.506,0.315,4.11E-27,,,,
Tlr4,3.23E-26,0.507117357,0.288,0.15,7.14E-22,,,,
Pde7b,2.49E-12,0.506589718,0.495,0.415,5.51E-08,,,,
4930430E12Rik,3.24E-16,0.503614415,0.462,0.357,7.17E-12,,,,
Xist,1.41E-40,0.503441505,0.921,0.777,3.12E-36,,,,
Map3k1,4.94E-119,0.499509306,0.911,0.442,1.09E-114,,,,
Bhlhe40,2.21E-59,0.49835622,0.988,0.958,4.88E-55,,,,
Foxn3,4.00E-36,0.498076326,0.998,0.995,8.84E-32,,,,
Ccr5,1.09E-26,0.497429911,0.575,0.424,2.42E-22,,,,
Snx5,1.37E-47,0.493937182,0.999,0.993,3.03E-43,,,,
Kpna4,7.01E-45,0.493185765,0.999,0.998,1.55E-40,,,,
Epb41l2,4.50E-36,0.490483551,0.993,0.978,9.94E-32,,,,
Dach1,4.07E-12,0.490096678,0.102,0.042,9.01E-08,,,,
Mmp19,1.67E-12,0.489220737,0.203,0.119,3.70E-08,,,,
Jarid2,2.10E-35,0.488750288,0.997,0.994,4.64E-31,,,,
Arhgap26,3.78E-15,0.488155102,0.447,0.332,8.36E-11,,,,
Trio,5.44E-52,0.487100367,0.996,0.989,1.20E-47,,,,
Ednrb,7.95E-18,0.485880324,0.142,0.056,1.76E-13,,,,
Irf1,1.57E-17,0.484914632,0.355,0.241,3.46E-13,,,,
Tspan5,4.48E-30,0.48471231,0.668,0.499,9.91E-26,,,,
Fgl2,8.30E-24,0.484099163,0.21,0.089,1.84E-19,,,,
Sav1,1.00E-101,0.483747687,0.574,0.186,2.21E-97,,,,
Slc49a4,1.71E-14,0.483413856,0.462,0.37,3.79E-10,,,,
Hspa1a,0.013706996,0.483309792,0.452,0.448,1,,,,
Smox,8.78E-16,0.481771613,0.368,0.263,1.94E-11,,,,
Ahr,1.56E-19,0.481692633,0.204,0.099,3.44E-15,,,,
Clec4n,5.10E-19,0.480402237,0.319,0.195,1.13E-14,,,,
Hspa5,1.87E-18,0.480297637,1,1,4.14E-14,,,,
Cass4,7.29E-26,0.479325225,0.152,0.045,1.61E-21,,,,
Mtmr10,2.05E-49,0.478825566,0.76,0.541,4.54E-45,,,,
Fam129b,4.20E-38,0.477740833,0.669,0.428,9.28E-34,,,,
Clec10a,4.83E-31,0.476131457,0.141,0.028,1.07E-26,,,,
Hmgcl,5.85E-72,0.475926768,0.755,0.448,1.29E-67,,,,
Dusp10,9.77E-19,0.475846329,0.202,0.099,2.16E-14,,,,
Pfkp,8.98E-65,0.475606497,1,0.998,1.99E-60,,,,
Dusp6,1.37E-108,0.474927604,0.69,0.268,3.02E-104,,,,
Hip1,1.07E-35,0.473742207,0.985,0.96,2.36E-31,,,,
Glipr1,1.50E-13,0.473327967,0.415,0.317,3.33E-09,,,,
Anxa3,3.41E-22,0.472340855,0.33,0.199,7.54E-18,,,,
Camk1d,7.47E-43,0.471547057,1,0.991,1.65E-38,,,,
Adam8,1.35E-18,0.470640933,0.554,0.444,2.99E-14,,,,
Anxa2,5.63E-53,0.469810176,1,1,1.24E-48,,,,
Ascc3,2.28E-36,0.469313282,0.986,0.968,5.03E-32,,,,
Tmx4,1.27E-26,0.468621315,0.982,0.964,2.80E-22,,,,
Arhgef3,1.49E-21,0.467257154,0.294,0.164,3.30E-17,,,,
Slfn1,1.29E-18,0.467035845,0.28,0.164,2.86E-14,,,,
Rgs2,3.75E-11,0.465421553,0.624,0.556,8.29E-07,,,,
Lars2,1.89E-43,0.463000571,0.999,0.992,4.19E-39,,,,
Snx24,6.14E-35,0.462802509,0.952,0.703,1.36E-30,,,,
Gpat3,2.10E-22,0.462337443,0.157,0.056,4.64E-18,,,,
Mthfs,3.21E-16,0.461735305,0.261,0.155,7.09E-12,,,,
Hipk1,2.91E-60,0.461608545,0.857,0.565,6.44E-56,,,,
Ccdc115,5.81E-128,0.460007538,0.745,0.29,1.28E-123,,,,
Ehd4,5.82E-33,0.459625919,0.929,0.794,1.29E-28,,,,
Eps8,6.23E-33,0.459343322,1,1,1.38E-28,,,,
Mafb,7.38E-23,0.455686202,0.829,0.765,1.63E-18,,,,
Trim30a,1.61E-29,0.453766777,0.527,0.328,3.55E-25,,,,
Zfand5,7.10E-49,0.452511775,1,1,1.57E-44,,,,
Resf1,5.29E-26,0.451502828,0.968,0.942,1.17E-21,,,,
Naaa,7.15E-20,0.451323675,0.194,0.089,1.58E-15,,,,
Ptpro,2.71E-11,0.447732819,0.326,0.238,6.00E-07,,,,
Hist1h2ap,0.068105366,0.445726072,0.083,0.069,1,,,,
Bmt2,5.88E-51,0.445708023,0.988,0.976,1.30E-46,,,,
Zfp608,2.11E-24,0.445164175,0.968,0.924,4.66E-20,,,,
Gbe1,6.90E-73,0.444023993,0.989,0.981,1.53E-68,,,,
Parp14,4.45E-14,0.441311277,0.41,0.311,9.85E-10,,,,
Ell,8.07E-18,0.440517096,0.332,0.219,1.78E-13,,,,
Rapgef1,1.75E-52,0.440462558,0.992,0.985,3.86E-48,,,,
Egr1,2.65E-19,0.440417642,0.951,0.802,5.85E-15,,,,
Rara,2.31E-65,0.43609096,0.645,0.328,5.11E-61,,,,
Sestd1,2.77E-17,0.435670405,0.424,0.307,6.12E-13,,,,
Hbb-bt,0.193728833,0.435473163,0.026,0.019,1,,,,
4930523C07Rik,8.34E-20,0.435286021,0.158,0.062,1.85E-15,,,,
Rassf8,1.87E-41,0.434700047,0.816,0.634,4.13E-37,,,,
Lrrfip2,2.23E-28,0.434474713,0.987,0.978,4.93E-24,,,,
Mapre2,1.44E-26,0.434257975,0.985,0.957,3.19E-22,,,,
Jun,1.06E-30,0.429627944,1,1,2.35E-26,,,,
Sdcbp,2.65E-49,0.429322811,1,0.999,5.86E-45,,,,
Cd84,2.36E-18,0.428049321,0.634,0.54,5.22E-14,,,,
Gab2,1.22E-28,0.427817079,0.994,0.983,2.70E-24,,,,
Rhoh,2.09E-28,0.427545665,0.208,0.077,4.63E-24,,,,
Bnip3,2.13E-65,0.427427081,0.996,0.995,4.72E-61,,,,
Cd200r1,1.65E-19,0.427324685,0.264,0.145,3.66E-15,,,,
Rchy1,1.89E-43,0.42668417,0.817,0.63,4.17E-39,,,,
Pcgf5,2.06E-14,0.426318871,0.328,0.229,4.56E-10,,,,
Hbegf,4.92E-13,0.426107942,0.149,0.074,1.09E-08,,,,
Dhrs3,6.18E-16,0.42500869,0.496,0.395,1.37E-11,,,,
Nptn,4.75E-36,0.424637898,0.995,0.99,1.05E-31,,,,
Osbpl9,8.17E-26,0.42419031,0.977,0.925,1.81E-21,,,,
Oasl1,1.16E-10,0.423973685,0.396,0.303,2.56E-06,,,,
Lnpep,5.54E-60,0.423083537,0.876,0.558,1.22E-55,,,,
Snx2,2.16E-29,0.422096461,0.986,0.934,4.79E-25,,,,
Azin1,2.19E-24,0.420985061,0.988,0.984,4.84E-20,,,,
Myo9a,2.84E-60,0.418889329,0.517,0.222,6.27E-56,,,,
Cep120,4.24E-38,0.418691099,0.419,0.208,9.38E-34,,,,
Slc8a1,4.89E-09,0.417927243,0.53,0.466,0.000108173,,,,
Cmss1,1.81E-45,0.417518166,1,0.999,4.01E-41,,,,
Bcl2a1b,1.57E-10,0.417148218,0.571,0.515,3.48E-06,,,,
Snx18,2.43E-33,0.416559293,0.842,0.591,5.37E-29,,,,
Gpr141,4.15E-10,0.416396362,0.234,0.156,9.19E-06,,,,
Esyt2,1.47E-29,0.414514811,0.986,0.966,3.26E-25,,,,
Ctsc,1.15E-15,0.414457422,0.977,0.889,2.54E-11,,,,
Mycbp2,2.23E-38,0.411887332,0.992,0.977,4.93E-34,,,,
Slc23a2,2.48E-25,0.411823209,0.86,0.77,5.48E-21,,,,
Hba-a2,5.63E-08,0.411201612,0.076,0.034,0.001244297,,,,
Dennd1a,5.35E-22,0.41092919,0.997,0.991,1.18E-17,,,,
Bach2,9.24E-13,0.410238481,0.265,0.173,2.04E-08,,,,
Dok2,9.82E-17,0.409548491,0.261,0.154,2.17E-12,,,,
Grk5,3.25E-21,0.409497388,0.565,0.42,7.19E-17,,,,
Mdm2,5.49E-23,0.409046936,0.982,0.93,1.21E-18,,,,
Pik3cb,3.78E-12,0.407796407,0.413,0.321,8.37E-08,,,,
Zfc3h1,4.99E-52,0.407566438,0.73,0.422,1.10E-47,,,,
Tent5c,4.06E-12,0.406755611,0.235,0.152,8.97E-08,,,,
Ptprc,4.91E-16,0.406665566,0.728,0.663,1.09E-11,,,,
Ms4a8a,4.94E-25,0.406331327,0.122,0.027,1.09E-20,,,,
Rassf3,9.07E-25,0.406253093,0.962,0.929,2.01E-20,,,,
Tent2,2.75E-73,0.405510106,0.796,0.466,6.09E-69,,,,
Samhd1,5.11E-27,0.40525977,0.791,0.547,1.13E-22,,,,
Abtb2,4.35E-16,0.404832786,0.982,0.974,9.62E-12,,,,
Katnbl1,2.65E-36,0.404413229,0.642,0.42,5.86E-32,,,,
Vcl,4.28E-36,0.403939432,0.986,0.953,9.47E-32,,,,
Gatm,5.04E-24,0.403863508,0.104,0.019,1.11E-19,,,,
Whamm,1.03E-80,0.403689595,0.541,0.203,2.28E-76,,,,
Raph1,8.84E-24,0.4036388,0.398,0.236,1.96E-19,,,,
Svil,1.52E-11,0.402191033,0.396,0.308,3.36E-07,,,,
AU022793,2.96E-21,0.402139188,0.138,0.045,6.55E-17,,,,
Suco,8.99E-27,0.401328815,0.981,0.955,1.99E-22,,,,
Gm26917,3.29E-10,0.40051856,0.98,0.976,7.27E-06,,,,
Dmtf1,1.29E-73,0.400494217,0.544,0.227,2.85E-69,,,,
Msra,6.59E-12,0.399877163,0.315,0.225,1.46E-07,,,,
Igf1,0.014434441,0.399755682,0.228,0.206,1,,,,
Morrbid,4.93E-20,0.399012984,0.926,0.87,1.09E-15,,,,
Fndc3b,1.67E-35,0.398471753,0.997,0.995,3.69E-31,,,,
Acer3,5.43E-15,0.398348593,0.386,0.28,1.20E-10,,,,
Dmxl1,3.58E-17,0.39723915,0.979,0.909,7.92E-13,,,,
Hist1h1b,1.36E-06,0.396183161,0.06,0.027,0.030064766,,,,
Ifi205,2.76E-07,0.395822982,0.233,0.173,0.006108591,,,,
Hist1h1c,6.19E-33,0.395751861,0.943,0.845,1.37E-28,,,,
Tec,1.92E-13,0.395486723,0.459,0.364,4.24E-09,,,,
Pdgfc,3.64E-12,0.394920576,0.125,0.058,8.06E-08,,,,
Malat1,1.74E-18,0.393691073,1,1,3.85E-14,,,,
Jund,5.70E-38,0.392555092,1,1,1.26E-33,,,,
Krr1,7.96E-09,0.391751275,0.216,0.148,0.000176009,,,,
Dhrs9,8.53E-24,0.390231643,0.113,0.024,1.89E-19,,,,
Lgmn,1.81E-17,0.390091095,0.994,0.969,3.99E-13,,,,
Ly6a,1.88E-09,0.390035551,0.317,0.23,4.15E-05,,,,
Pde3b,1.71E-13,0.389937657,0.14,0.066,3.79E-09,,,,
Ndrg1,1.11E-35,0.389782204,0.959,0.72,2.46E-31,,,,
Fcgr1,5.66E-13,0.389751158,0.586,0.505,1.25E-08,,,,
Rbm39,7.75E-51,0.389704476,1,1,1.71E-46,,,,
Golph3,3.03E-65,0.388973659,0.611,0.272,6.70E-61,,,,
Abhd17b,1.60E-14,0.388965391,0.955,0.92,3.55E-10,,,,
Dusp5,5.97E-07,0.388657677,0.298,0.242,0.013212348,,,,
Chd7,4.90E-14,0.388521122,0.565,0.466,1.08E-09,,,,
Ear2,2.28E-09,0.387085592,0.053,0.015,5.04E-05,,,,
Lyst,1.03E-32,0.386537976,0.994,0.989,2.29E-28,,,,
Hif1a,8.26E-28,0.38630594,0.996,0.997,1.83E-23,,,,
Chst11,5.44E-07,0.38630322,0.255,0.193,0.012039058,,,,
Kbtbd11,1.99E-113,0.385902761,0.455,0.099,4.40E-109,,,,
Flt1,1.60E-17,0.385716162,0.072,0.012,3.54E-13,,,,
Camk2d,3.42E-25,0.385347302,0.997,0.995,7.57E-21,,,,
Ext1,2.19E-23,0.385028822,0.997,0.993,4.84E-19,,,,
Arhgap18,8.42E-12,0.384444594,0.44,0.351,1.86E-07,,,,
Btbd1,4.85E-47,0.384269391,0.991,0.988,1.07E-42,,,,
Ccnl1,1.15E-34,0.383647512,0.998,0.995,2.55E-30,,,,
Vps54,6.95E-56,0.383117881,0.793,0.509,1.54E-51,,,,
Etv3,7.39E-15,0.38259412,0.221,0.126,1.63E-10,,,,
Xpr1,9.78E-29,0.382279312,0.548,0.337,2.16E-24,,,,
Diaph1,1.92E-22,0.382261017,0.991,0.973,4.24E-18,,,,
Actr3,1.94E-43,0.382011452,1,1,4.28E-39,,,,
