pathway	pval	padj	log2err	ES	NES	size	leadingEdge
BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2	0.000109131728299803	0.00212531610770076	0.538434096309916	0.380106226390191	2.5907743436603	35	Blvrb Serpinb6a Tubb5 Nsa2 Hspa8 Eif3k Rtraf Aimp1 Kdelr1 Gyg Ppm1g Cnih1 Nme2 Polr1c Acbd6 Tcp1 Impdh2 Nap1l1 Bri3bp Ola1 Igbp1 Ssr4 Eif3e Fxr1 Cct2
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES	0.000851550963694427	0.00769829540565687	0.477270815362862	0.428795502563224	2.28343493465434	21	Ptms Eef2 Fau Rack1 Use1 Eif3f Eef1b2 Sin3b Uba52 Eef1a1 Eef1g Lta4h Eif3l Eif3h Eif4b Rbbp6 Nop53
BILANGES_SERUM_SENSITIVE_GENES	0.238879736408567	0.396130450464502	0.11101149245045	0.17642183999737	1.19252734264944	36	Blvrb Tubb5 Il3ra Nsa2 Plod1 Eif3k Asl AY036118 Cdc37 Spen Plpp3 Acbd6 Nap1l1 Ola1 Igbp1 Tmem9 Eif3e Rcc2 Mtdh
BILANGES_SERUM_SENSITIVE_VIA_TSC2	0.895368782161235	0.920222254453238	0.0437125833579551	0.126308563583319	0.648300425607359	19	Smarca4 Eif3c Nedd4 Eif5b Snrpd3 Ddx46 Atp1a1 Glg1 Npm3 Numa1 Dicer1 Gbf1 Eif3a Col1a2 Ccdc88a Thoc2 Kif1b Smg6 Uba6
BIOCARTA_ARENRF2_PATHWAY	0.4408014571949	0.586862747643091	0.0808589150280032	0.209502557733196	1.00802174046019	17	Nfe2l2 Prkcb Por Gsta2 Hmox2
BIOCARTA_AT1R_PATHWAY	0.657940663176265	0.751836374536793	0.0587185879555941	0.163952775486266	0.855009851561111	20	Prkcb Calm3 Map2k2 Hras Agtrap
BIOCARTA_BCR_PATHWAY	0.8075	0.861394292291961	0.066132620475844	-0.126453049872317	-0.726510753264636	23	Fos Jun Ppp3ca Syk Map3k1 Lyn Mapk8 Calm1 Nfatc3 Map2k1 Btk Sos1 Grb2
BIOCARTA_BIOPEPTIDES_PATHWAY	0.601362862010222	0.709378256773642	0.0618406035753285	0.160483168017753	0.880410195101117	22	Prkcb Calm3 Map2k2 Hras Cdk5 Mapk14 Gna11 Mylk Raf1 Mapk3 Ptk2b Shc1
BIOCARTA_CREB_PATHWAY	0.57942238267148	0.695430932521123	0.066436413766281	0.195217059155678	0.890620279031117	15	Prkcb Hras Prkar1a Mapk14 Akt1 Prkar2b Mapk3 Pik3ca Prkacb Grb2 Sos1 Prkar2a Creb1
BIOCARTA_ECM_PATHWAY	0.593533487297921	0.706317451444766	0.0776798560117236	-0.170810165518228	-0.881133765453217	18	Diaph1 Rock1 Fyn Pik3r1 Mapk1 Gsn Rhoa Map2k1 Itgb1 Tln1 Arhgap5 Pik3ca Shc1 Mapk3 Raf1
BIOCARTA_EGF_PATHWAY	0.145584725536993	0.287831529677194	0.179782316298324	-0.248151258430686	-1.30995064493852	19	Fos Jun Map2k4 Map3k1 Pik3r1 Jak1 Stat3 Mapk8 Rasa1 Stat1 Map2k1 Sos1 Grb2
BIOCARTA_EIF4_PATHWAY	0.284738041002278	0.45083523158694	0.120985142145252	-0.23432813864318	-1.14352858212556	16	Pik3r1 Mapk1 Mknk1 Pten Eif4a1 Pabpc1 Eif4a2 Mtor Eif4ebp1
BIOCARTA_ERK_PATHWAY	0.400911161731207	0.554157105179634	0.0988903007520636	-0.215006363922675	-1.04923772240114	16	Ppp2ca Igf1r Mapk1 Stat3 Mknk1 Gnas Map2k1 Sos1 Itgb1 Grb2 Mknk2 Shc1 Mapk3 Raf1
BIOCARTA_FAS_PATHWAY	0.664459161147903	0.756201745834314	0.0696133438850965	-0.164155796773462	-0.837643502066695	17	Jun Map2k4 Map3k1 Lmna Daxx Mapk8 Casp6 Lmnb1
BIOCARTA_FCER1_PATHWAY	0.295165394402036	0.457649249135106	0.126253987849115	-0.169354987837452	-1.12513978983596	30	Fos Jun Ppp3ca Map2k4 Syk Map3k1 Pik3r1 Pla2g4a Mapk1 Lyn Mapk8 Calm1 Nfatc3 Map2k1 Pak2 Btk Sos1
BIOCARTA_FMLP_PATHWAY	0.955706984667802	0.965177954786132	0.0404114482034376	0.105218693271975	0.577229446652102	22	Fpr1 Calm3 Map2k2 Hras
BIOCARTA_GH_PATHWAY	0.490974729241877	0.621199403476461	0.0747385227439092	0.208062530437367	0.94922395468664	15	Prkcb Ptpn6 Hras Raf1 Mapk3 Shc1 Pik3ca Insr Jak2 Stat5b Grb2 Sos1 Map2k1
BIOCARTA_GLEEVEC_PATHWAY	0.136258660508083	0.27621330638257	0.183023938384487	-0.260488505084394	-1.34374448175216	18	Fos Jun Map2k4 Map3k1 Pik3r1 Mapk8 Stat1 Map2k1 Crkl Sos1 Grb2 Stat5b Jak2 Pik3ca
BIOCARTA_GPCR_PATHWAY	0.912521440823328	0.931636188672997	0.042845050912155	0.123417357332499	0.633460812284632	19	Prkcb Calm3 Hras Prkar1a Prkar2b Raf1 Mapk3 Nfatc2 Ppp3cb Prkacb Prkar2a Map2k1 Nfatc3 Creb1 Calm1
BIOCARTA_GSK3_PATHWAY	0.145089285714286	0.287831529677194	0.173747838999571	-0.283063868550039	-1.34447927246574	15	Ppp2ca Gsk3b Pik3r1 Axin1 Eif2ak2 Apc Myd88 Ccnd1 Rela Pdpk1 Irak1 Pik3ca
BIOCARTA_HCMV_PATHWAY	0.991071428571429	0.99195631377551	0.0511147954416412	-0.0986686809555283	-0.468650404114689	15	Map3k1 Pik3r1 Mapk1 Map2k3 Creb1 Map2k1 Rela Sp1 Pik3ca Rb1
BIOCARTA_HDAC_PATHWAY	0.638392857142857	0.736253490593768	0.0721797965581253	-0.177017922553637	-0.840788790697383	15	Ppp3ca Pik3r1 Igf1r Igf1 Calm1 Insr Pik3ca Ppp3cb Nfatc2 Cabin1 Ywhah Hdac5
BIOCARTA_HER2_PATHWAY	0.316964285714286	0.478567913772843	0.112378519110475	-0.234401363765148	-1.11334511407002	15	Il6st Pik3r1 Il6ra Mapk1 Stat3 Map2k1 Sos1 Grb2 Pik3ca Ep300 Shc1 Mapk3 Raf1 Carm1
BIOCARTA_HIVNEF_PATHWAY	0.333333333333333	0.494268077601411	0.11776578836269	-0.144988769891811	-1.09840039474084	38	Mdm2 Tnf Nfkbia Map3k1 Lmna Prkcd Gsn Psen1 Actg1 Daxx Ripk1 Mapk8 Map3k5 Rasa1 Casp6 Lmnb1 Map3k14 Pak2 Cradd Cdk11b Rela Chuk Tnfrsf1a Apaf1 Xiap Tradd
BIOCARTA_IGF1MTOR_PATHWAY	0.296127562642369	0.458135376756066	0.118287526124085	-0.233033056142055	-1.13720853936492	16	Ppp2ca Gsk3b Pik3r1 Igf1r Pten Igf1 Eif2s3x Mtor Eif4ebp1
BIOCARTA_IGF1R_PATHWAY	0.717668488160291	0.797925898830723	0.0566484183613995	0.165749818397551	0.797505396735236	17	Hras Prkar1a Akt1 Prkar2b Raf1 Mapk3 Shc1 Ywhah Pik3ca Prkacb Grb2 Sos1 Prkar2a Map2k1
BIOCARTA_IGF1_PATHWAY	0.167410714285714	0.318620391705069	0.160801401070022	-0.276461966391253	-1.31312196552013	15	Fos Jun Pik3r1 Igf1r Igf1 Mapk8 Rasa1 Map2k1 Sos1 Grb2 Pik3ca Shc1 Mapk3 Raf1
BIOCARTA_IL1R_PATHWAY	0.15	0.294483362521891	0.181383128498408	-0.22792107568784	-1.30947503875989	23	Tnf Jun Nfkbia Traf6 Map3k1 Map2k3 Mapk8 Myd88 Il1rap Irak2 Il1a Map3k14 Ikbkb Rela Map3k7 Chuk Irak1
BIOCARTA_IL2RB_PATHWAY	0.96252129471891	0.970467392932015	0.0400845633477088	0.101717690354313	0.558022954782206	22	Ptpn6 Il2rg Fas Hras
BIOCARTA_IL6_PATHWAY	0.169642857142857	0.320690797398217	0.159646701919906	-0.274916514807966	-1.30578147508251	15	Cebpb Fos Il6st Jun Il6ra Jak1 Stat3 Map2k1 Sos1 Grb2 Jak2 Shc1 Mapk3 Raf1
BIOCARTA_INTEGRIN_PATHWAY	0.0147604470721685	0.0635338168325109	0.380730400722792	-0.287259434547784	-1.74933785343496	25	Rapgef1 Jun Rock1 Fyn Vcl Zyx Rap1a Mapk1 Mapk8 Ppp1r12b Tns1 Rhoa Map2k1 Crkl Sos1 Itgb1 Tln1 Grb2
BIOCARTA_KERATINOCYTE_PATHWAY	0.39746835443038	0.551311071932764	0.105920292736253	-0.139563887727444	-1.02848727199931	36	Fos Ppp2ca Tnf Jun Nfkbia Map2k4 Map3k1 Cebpa Mapk1 Prkcd Map2k3 Daxx Ripk1 Mapk8 Map3k5
BIOCARTA_MAPK_PATHWAY	0.166240409207161	0.317471037003795	0.173747838999571	-0.140586175283668	-1.25868814084906	52	Fos Map3k8 Jun Nfkbia Map2k4 Mapk6 Map3k1 Cebpa Mapk1 Map3k2 Max Mknk1 Map2k3 Map3k3 Daxx Ripk1 Mapk8 Map3k5 Stat1 Atf2 Creb1 Map2k1 Map3k14 Pak2 Ikbkb Grb2 Rela Map3k7 Mapk9 Sp1 Mknk2 Chuk Map4k3
BIOCARTA_MET_PATHWAY	0.0778588807785888	0.192670651992932	0.252961123069611	-0.24365584368015	-1.48380292968033	25	Fos Rap1b Rapgef1 Jun Gab1 Pik3r1 Rap1a Mapk1 Stat3 Pten Mapk8 Rasa1 Map2k1 Crkl Sos1 Itgb1 Grb2
BIOCARTA_MTOR_PATHWAY	0.026411345174686	0.0919475712447918	0.352487857583619	-0.343557346851418	-1.67657050492794	16	Ppp2ca Pik3r1 Mknk1 Pten Eif4a1 Eif4a2 Mtor Tsc1 Rheb Eif4ebp1 Eif3a Pdpk1 Pik3ca Eif4e
BIOCARTA_NFAT_PATHWAY	0.577777777777778	0.694200309634393	0.0826646449123753	-0.142758347559513	-0.89141598667838	26	Gsk3b Mef2c Hbegf Ppp3ca Pik3r1 Mapk1 Igf1 Mapk8 Crebbp Calm1 Nfatc3 Map2k1 Prkar2a
BIOCARTA_NFKB_PATHWAY	0.0104004809434808	0.0491938360238058	0.380730400722792	-0.359286673104225	-1.85340034177123	18	Tnf Nfkbia Traf6 Map3k1 Ripk1 Myd88 Il1a Map3k14 Ikbkb Rela Map3k7 Tnfaip3 Chuk Tnfrsf1a Irak1 Tradd
BIOCARTA_NTHI_PATHWAY	0.251748251748252	0.411384533833513	0.131457611642763	-0.211876978275009	-1.15504265603098	20	Dusp1 Tnf Nfkbia Nr3c1 Map2k3 Smad4 Crebbp Myd88 Tgfbr2 Map3k14 Ikbkb Rela Map3k7 Chuk
BIOCARTA_P38MAPK_PATHWAY	0.979899497487437	0.985172499267639	0.0384786917635432	0.0915737316241179	0.541173077706751	26	Rapgef2 Hras Hspb1 Hspb2 Hmgn1 Mapk14 Traf2 Tgfb1 Tgfbr1 Mapkapk2 Shc1 Ddit3 Tradd Map3k7 Grb2 Creb1 Atf2 Stat1 Map3k5 Cdc42 Ripk1 Daxx Mknk1 Max
BIOCARTA_PDGF_PATHWAY	0.145584725536993	0.287831529677194	0.179782316298324	-0.248151258430686	-1.30995064493852	19	Fos Jun Map2k4 Map3k1 Pik3r1 Jak1 Stat3 Mapk8 Rasa1 Stat1 Map2k1 Sos1 Grb2
BIOCARTA_PML_PATHWAY	0.670309653916211	0.758241293683222	0.0598603117764473	0.17202571203013	0.827701864458138	17	Tnfrsf1b Fas Pax3 Hras Sae1
BIOCARTA_PYK2_PATHWAY	0.767605633802817	0.830983294218589	0.0655321029282414	-0.133432861517272	-0.750644527390825	21	Jun Gnaq Map2k4 Map3k1 Mapk1 Map2k3 Mapk8 Calm1 Map2k1 Crkl Sos1 Grb2
BIOCARTA_RACCYCD_PATHWAY	0.809859154929578	0.862157751829113	0.0629394692018967	-0.127667886284834	-0.718212883045006	21	Cdk6 Cdkn1a Nfkbia Pik3r1 Mapk1 Cdkn1b Rhoa Ccnd1 Ikbkb Rela Chuk Cdk4 Pik3ca Rb1 Mapk3 Raf1 E2f1 Cdk2 Akt1
BIOCARTA_RAS_PATHWAY	0.44582593250444	0.590048253054873	0.0789209638180035	0.210648464018738	0.999875274900433	16	Ralbp1 Hras Nfkb1 Akt1 Raf1 Mapk3 Rala Ralgds Pik3ca Pld1 Chuk Rela Map2k1 Rhoa
BIOCARTA_RHO_PATHWAY	0.241071428571429	0.397998632442668	0.131457611642763	-0.24955379498906	-1.1853151956363	15	Diaph1 Rock1 Arhgap6 Vcl Baiap2 Gsn Ppp1r12b Rhoa Arhgef1 Tln1
BIOCARTA_STRESS_PATHWAY	0.0932400932400932	0.213423962056181	0.224966093540314	-0.264933476328531	-1.44427898047913	20	Tnf Jun Nfkbia Map2k4 Map3k1 Map2k3 Ripk1 Mapk8 Atf1 Map3k14 Cradd Ikbkb Rela Chuk Tnfrsf1a Tradd
BIOCARTA_TCR_PATHWAY	0.373134328358209	0.535405047299171	0.108820126769161	-0.16985696076033	-1.06698429099817	27	Fos Jun Fyn Nfkbia Ppp3ca Map2k4 Map3k1 Pik3r1
BIOCARTA_TNFR1_PATHWAY	0.639618138424821	0.736696243562699	0.0755015292281669	-0.163670719083908	-0.86399144367589	19	Tnf Jun Map2k4 Map3k1 Lmna Ripk1 Mapk8 Lmnb1 Pak2 Cradd Map3k7 Tnfrsf1a Tradd Rb1
BIOCARTA_TNFR2_PATHWAY	0.509769094138544	0.637780306394316	0.072003313661988	0.200965153254722	0.953911953699781	16	Tank Tnfrsf1b Traf1
BIOCARTA_TOLL_PATHWAY	0.00414916755007936	0.0248728172387111	0.407017918923954	-0.393674288984012	-2.03079077619407	18	Fos Jun Nfkbia Traf6 Map2k4 Map3k1 Eif2ak2 Map2k3 Mapk8 Myd88 Map3k14 Ikbkb Rela Map3k7 Chuk Irak1
BIOCARTA_TPO_PATHWAY	0.311258278145695	0.474076806795278	0.112843355675562	-0.218628027690784	-1.11560085214394	17	Fos Jun Pik3r1 Stat3 Rasa1 Stat1 Map2k1 Sos1 Grb2 Stat5b Jak2 Pik3ca Shc1 Mapk3 Raf1
BIOCARTA_VDR_PATHWAY	0.403087478559177	0.555111871578424	0.0824344091527096	0.202677192380299	1.04027554706833	19	Snw1 Smarca4 Smarcd1 Rxra Smarcc1 Arid1a Actl6a Carm1 Baz1b Smarce1 Ep300 Prmt1 Supt16 Top2b Kat2b Ncor1 Med1 Crebbp Ncoa3
BIOCARTA_VIP_PATHWAY	0.460136674259681	0.603996735181619	0.0908241419007155	-0.203845121543604	-0.99477051352729	16	Egr2 Nfkbia Gnaq Ppp3ca Map3k1
BOCHKIS_FOXA2_TARGETS	0.904382470119522	0.926702695616073	0.0312771255290148	0.0477175776936276	0.637185525286469	172	Saa3 Abca1 Itm2b Apoe Prdx1 Cyb5a Gdpd1 Renbp Clec4a2 Psen2 Slc31a1 Gde1
BORLAK_LIVER_CANCER_EGF_UP	0.0792838874680307	0.19495652173913	0.257206466468838	-0.228494560261245	-1.49239197297058	29	Spp1 Atf3 Alcam Junb Fos S100a11 Btg2 Anxa2 Lpl
BOYLAN_MULTIPLE_MYELOMA_C_CLUSTER_DN	0.0242371519025327	0.087082843854933	0.352487857583619	-0.316801099224076	-1.72703417832569	20	Spp1 Klf6 Xist Sat1 Rgs1 Ctsl Egln3 Aig1 Ptpn22 Irs2 Kcnq1ot1
BOYLAN_MULTIPLE_MYELOMA_C_CLUSTER_UP	0.15625	0.304707732964198	0.166933848713193	-0.27949505885528	-1.32752836069252	15	Eps8 Kras Hnrnpd Gabpb1 Gas2l3 Apc Mtor Tpm3 Nfya Rbm14 Ptgr1 Tifa Tyms B3gnt8
BOYLAN_MULTIPLE_MYELOMA_C_DN	0.0211279146254211	0.0797454286030202	0.352487857583619	-0.221869200553468	-1.68082823001128	38	Spp1 Klf6 Xist Sat1 Rgs1 Jun Ctsl Egln3 Cers6 Aig1 Tnfrsf21 Irs2 Myof Kif13a Lncpint Kcnq1ot1 Trim12a Zswim6 Nrip1
BOYLAN_MULTIPLE_MYELOMA_C_D_DN	1.33627488823021e-07	1.1547909387165e-05	0.690132458796796	-0.247531934227714	-3.40590436388789	122	Ifi204 Gda Ifi207 Alcam Cd9 Basp1 Vav3 Rgcc Rhob Lrp12 Fos Ccr2 Nfil3 App Ltb4r1 F13a1 Arl4c Il13ra1 Tfec Dhrs3 Slfn1 Fgl2 Atp6v0a1 Anxa2 Slfn4 Fndc3b Zbp1 Chil3 Pik3cb Ly6a Arhgap6 Tent5c Gvin1 Raph1 Plek Spon1 Rtp4 Xdh Casp4 Edem1 Olfm1 Ptpn22 Gpr183 Igf1r Tiam1 Sec24d Trim30d Iqgap2 Ptpre Slc41a2
BOYLAN_MULTIPLE_MYELOMA_C_D_UP	0.269662921348315	0.43432777993026	0.140406238523342	-0.111903406445267	-1.11006277415621	65	Sgms1 Eps8 Iqgap1 Cdkn1a Klf9 Rhoh Gpat3 Bach2 Ankrd37 Amz1 Tra2a Usp25 Fus Pdlim1 Pabpc1 Clasp2 Fubp1 Srgap2 Dnajb4 Taf1d Zeb2 Gch1 Snhg8 Tpm3 Hook3 Eprs Gabpb2 Nolc1 Rad51b Zfp593 Dyrk2 Brd8 Prkacb Mark3 Supt16 Ncl Siva1 Slc16a1 Klc1 Scarb1 Rcor1 Tifa Cnn3 Snrpf Zfas1 Sf3a3 Itsn1 Farsb Gcn1 Serf1 Incenp Ywhag Nap1l1 Cpsf2 Sox4 Cfap298 Cep68 Ptprs
BOYLAN_MULTIPLE_MYELOMA_C_UP	0.672384219554031	0.759004822586312	0.0568864160475701	0.158057319375322	0.811256374978774	19	Marcksl1 Fkbp3 Fam53b Ets1 Tyms Gas5 Ptgr1 Mcm3 Dhx38 Nasp Dyrk2 Rbks Stx2 Nfya Rlim Clip1 Mtor Cpsf6 Hnrnpd
BOYLAN_MULTIPLE_MYELOMA_D_CLUSTER_DN	0.235093696763203	0.39275712976386	0.114266502484433	0.222019773170433	1.2179998328028	22	Ano6 Nfkbie Prkra Sh3bp1 Camkk2 Ccnd3 Ctnna1 Lgals1 Lxn Pbx2 Ctdspl Stk3 Cep250 Trappc9 Pstpip2 Arhgap21 Stx2
BOYLAN_MULTIPLE_MYELOMA_D_DN	0.31457800511509	0.478482963004091	0.122107920287081	-0.127280587360886	-1.1110465965249	49	Ccl9 S100a6 Cd44 Il7r Arhgap26 Abtb2 Cask Ahnak Arap2 Syne3 Anxa4 Hnrnpll Tdrd7 Gsn Slc28a2 Itgam Tifab Cyth4 Casp1 Crybg1 Ccdc88a
BOYLAN_MULTIPLE_MYELOMA_D_UP	0.637755102040816	0.736253490593768	0.0791316651768349	-0.11338158288338	-0.870535293409218	39	Gphn Plk2 Klf9 Asph Slc49a4 Bach1 Akt3 Napsa Rapgef6 Usp15 Agtpbp1 Irf2bp2
BOYLAN_MULTIPLE_MYELOMA_PCA1_UP	0.000471319238000177	0.0058060314922879	0.49849310876659	-0.297789751626444	-2.38115042539137	43	Ifi204 Ifi207 Alcam Cd9 Basp1 Vav3 Ccr2 App Ltb4r1 Tfec Slfn1 Fgl2 Slfn4 Zbp1 Chil3 Arhgap6 Tent5c Spon1 Xdh
BOYLAN_MULTIPLE_MYELOMA_PCA3_DN	0.393700787401575	0.551311071932764	0.108820126769161	-0.154611693946162	-1.04815889830948	32	Dennd4c Il7r Gas7 Cysltr1 Anxa4 Rin3 Gsn Ggta1 Bst1 Apc Tifab Cyth4 Casp1 Crybg1
BOYLAN_MULTIPLE_MYELOMA_PCA3_UP	0.0301132973334332	0.0992853126787606	0.352487857583619	-0.220289566524682	-1.73214582481989	41	Gphn Atf3 Alcam Cdk6 Xist Plk2 Bhlhe40 Abtb2 Jun Ctsl Pik3cb Adssl1 Cers6 Aig1 Pla2g4a Kif13a Lncpint Kcnq1ot1 Trim12a
BRACHAT_RESPONSE_TO_CAMPTOTHECIN_DN	0.0226791505297015	0.0838727572039341	0.352487857583619	0.290388304493519	1.71610711593426	26	Ifitm2 Ppia Aldoa Tubb5 Swi5 Fkbp3 Ifitm3 Rsu1 Mt1 Slc44a2 Hmgcs1 Hikeshi Emc2 Rcn1 Eno1b
BRACHAT_RESPONSE_TO_CISPLATIN	0.121412803532009	0.255722792005549	0.190023305279108	-0.270977948762146	-1.38272861784597	17	Cd53 Lilrb4a Cdkn1a Dhrs3 Mdm2 Btg2
BRACHAT_RESPONSE_TO_METHOTREXATE_DN	0.0992779783393502	0.223009131239183	0.190023305279108	0.320809178996982	1.46359729907716	15	Ifitm2 Ppia Aldoa Fkbp3 Ifitm3 Mt1 Hmgcs1 Hikeshi
BRACHAT_RESPONSE_TO_METHOTREXATE_UP	0.0842824601366743	0.201720016840275	0.234392647294686	-0.292757151552039	-1.42866397676293	16	Cd53 Lilrb4a Cdkn1a Mdm2 Btg2 Trafd1 Carhsp1
BREDEMEYER_RAG_SIGNALING_NOT_VIA_ATM_DN	0.125211505922166	0.260896093194699	0.161978948883402	0.234888726554569	1.35892101559558	25	Slpi Abca1 Nav2 Naglu Slc11a2 Hvcn1 Snx10 Pcbp4 Scn8a Ift22
